2026-01-07 19:54:05,900 - LiveService - INFO - Process started for monitor 0
2026-01-07 19:54:05,942 - LiveService - INFO - Capturing Monitor 1: {'left': 0, 'top': 0, 'width': 1920, 'height': 1080}
2026-01-07 19:54:06,591 - LiveService - INFO - Translation Service Initialized
2026-01-07 19:54:07,705 - pytesseract - DEBUG - ['C:\\Program Files\\Tesseract-OCR\\tesseract.exe', 'C:\\Users\\Jazzry\\AppData\\Local\\Temp\\tess_pemgdodh_input.PNG', 'C:\\Users\\Jazzry\\AppData\\Local\\Temp\\tess_pemgdodh', '-l', 'eng', '--psm', '6', 'txt']
2026-01-07 19:54:08,006 - pytesseract - DEBUG - ['C:\\Program Files\\Tesseract-OCR\\tesseract.exe', 'C:\\Users\\Jazzry\\AppData\\Local\\Temp\\tess_9_sccm2e_input.PNG', 'C:\\Users\\Jazzry\\AppData\\Local\\Temp\\tess_9_sccm2e', '-l', 'eng', '--psm', '6', 'txt']
2026-01-07 19:54:08,302 - pytesseract - DEBUG - ['C:\\Program Files\\Tesseract-OCR\\tesseract.exe', 'C:\\Users\\Jazzry\\AppData\\Local\\Temp\\tess_gt2p3002_input.PNG', 'C:\\Users\\Jazzry\\AppData\\Local\\Temp\\tess_gt2p3002', '-l', 'eng', '--psm', '6', 'txt']
2026-01-07 19:54:08,600 - pytesseract - DEBUG - ['C:\\Program Files\\Tesseract-OCR\\tesseract.exe', 'C:\\Users\\Jazzry\\AppData\\Local\\Temp\\tess_mqvxtbee_input.PNG', 'C:\\Users\\Jazzry\\AppData\\Local\\Temp\\tess_mqvxtbee', '-l', 'eng', '--psm', '6', 'txt']
2026-01-07 19:54:08,907 - pytesseract - DEBUG - ['C:\\Program Files\\Tesseract-OCR\\tesseract.exe', 'C:\\Users\\Jazzry\\AppData\\Local\\Temp\\tess_wqn753ap_input.PNG', 'C:\\Users\\Jazzry\\AppData\\Local\\Temp\\tess_wqn753ap', '-l', 'eng', '--psm', '6', 'txt']
2026-01-07 19:54:09,254 - pytesseract - DEBUG - ['C:\\Program Files\\Tesseract-OCR\\tesseract.exe', 'C:\\Users\\Jazzry\\AppData\\Local\\Temp\\tess_l_rqf3m3_input.PNG', 'C:\\Users\\Jazzry\\AppData\\Local\\Temp\\tess_l_rqf3m3', '-l', 'eng', '--psm', '6', 'txt']
2026-01-07 19:54:09,577 - pytesseract - DEBUG - ['C:\\Program Files\\Tesseract-OCR\\tesseract.exe', 'C:\\Users\\Jazzry\\AppData\\Local\\Temp\\tess_629ic_vf_input.PNG', 'C:\\Users\\Jazzry\\AppData\\Local\\Temp\\tess_629ic_vf', '-l', 'eng', '--psm', '6', 'txt']
2026-01-07 19:54:09,864 - pytesseract - DEBUG - ['C:\\Program Files\\Tesseract-OCR\\tesseract.exe', 'C:\\Users\\Jazzry\\AppData\\Local\\Temp\\tess_7wq0p0xb_input.PNG', 'C:\\Users\\Jazzry\\AppData\\Local\\Temp\\tess_7wq0p0xb', '-l', 'eng', '--psm', '6', 'txt']
2026-01-07 19:54:10,126 - pytesseract - DEBUG - ['C:\\Program Files\\Tesseract-OCR\\tesseract.exe', 'C:\\Users\\Jazzry\\AppData\\Local\\Temp\\tess_1y1wi6tw_input.PNG', 'C:\\Users\\Jazzry\\AppData\\Local\\Temp\\tess_1y1wi6tw', '-l', 'eng', '--psm', '6', 'txt']
2026-01-07 19:54:10,351 - pytesseract - DEBUG - ['C:\\Program Files\\Tesseract-OCR\\tesseract.exe', 'C:\\Users\\Jazzry\\AppData\\Local\\Temp\\tess_bkpw6z7o_input.PNG', 'C:\\Users\\Jazzry\\AppData\\Local\\Temp\\tess_bkpw6z7o', '-l', 'eng', '--psm', '6', 'txt']
2026-01-07 19:54:10,696 - pytesseract - DEBUG - ['C:\\Program Files\\Tesseract-OCR\\tesseract.exe', 'C:\\Users\\Jazzry\\AppData\\Local\\Temp\\tess_2to7fi7s_input.PNG', 'C:\\Users\\Jazzry\\AppData\\Local\\Temp\\tess_2to7fi7s', '-l', 'eng', '--psm', '6', 'txt']
